title,job_type,salary,skills,address,company_name,company_description
Project Manager,FULL_TIME,"1,400 - 1,700 USD","Project Manager, Agile",Golden Owl Consulting Company,Golden Owl Consulting Company,Golden Owl Consulting Company
Senior QA Automation Tester (SQL),FULL_TIME,You'll love it,"Tester, SQL, QA QC",The leading provider of software outsourcing services in Vietnam,FPT Software,The leading provider of software outsourcing services in Vietnam
02 Manual Tester (QA QC) - Up to 18M,FULL_TIME,You'll love it,"Tester, QA QC",A software solutions provider and software outsourcing company ,Newwave Solutions,A software solutions provider and software outsourcing company 
"PHP Developers (MySQL, Laravel)~$1500",FULL_TIME,"900 - 1,500 USD","PHP, MySQL, Laravel",PowerGate is one of the top companies specializing in software development in Vietnam.,PowerGate Software,PowerGate is one of the top companies specializing in software development in Vietnam.
Fullstack Java Dev -Sign bonus up to 50M,FULL_TIME,Up to 50 millions,"Java, J2EE, Spring",The leading provider of software outsourcing services in Vietnam,FPT Software,The leading provider of software outsourcing services in Vietnam
Senior NodeJS Developer,FULL_TIME,You'll love it,"NodeJS, English, Cloud",A high quality Software Products and Websites Outsourcing company,Dirox,A high quality Software Products and Websites Outsourcing company
Senior .NET Dev - Signing bonus upto 50M,FULL_TIME,Up to 50 millions,".NET, C#, ASP.NET",The leading provider of software outsourcing services in Vietnam,FPT Software,The leading provider of software outsourcing services in Vietnam
UX/UI Designer,FULL_TIME,You'll love it,"UI-UX, Designer",ASIM TELECOM,ASIM TELECOM,ASIM TELECOM
"Sr. Java Developer (Spring, JavaScript)",FULL_TIME,You'll love it,"Java, JavaScript, Spring",Technology that helps every student learn effectively in their very own way.,SEN Platform,Technology that helps every student learn effectively in their very own way.
Technical Product Owner/Product Manager,FULL_TIME,"1,500 - 2,500 USD","Product Manager, Project Manager, Business Analyst",Our aim is to create awesome products that will make your everyday life easier,InnomizeTech,Our aim is to create awesome products that will make your everyday life easier
"Bridge System Engineer (BrSE, Japanese)",FULL_TIME,"1,000 - 2,000 USD","Bridge Engineer, Japanese, C#","Pasona Tech Việt Nam chuyên cung cấp dịch vụ phần mềm, kỹ thuật ứng dụng, ...",Pasona Tech Việt Nam,"Pasona Tech Việt Nam chuyên cung cấp dịch vụ phần mềm, kỹ thuật ứng dụng, ..."
"02 Testers (QA QC, Japanese)",FULL_TIME,500 - 800 USD,"Tester, Japanese, QA QC","Pasona Tech Việt Nam chuyên cung cấp dịch vụ phần mềm, kỹ thuật ứng dụng, ...",Pasona Tech Việt Nam,"Pasona Tech Việt Nam chuyên cung cấp dịch vụ phần mềm, kỹ thuật ứng dụng, ..."
"6 .NET/C# developers ($1,000-$1,500 net)",FULL_TIME,"1,000 - 1,500 USD",".NET, C#, MVC",Providing a qualified service for your ICT resources requirement,Fitech,Providing a qualified service for your ICT resources requirement
Sr. Java Developer (JavaScript/SQL/CSS),FULL_TIME,"1,500 - 1,900 USD","Java, CSS, SQL",Providing continuous data protection software for VMware-based virtual servers.,Nakivo,Providing continuous data protection software for VMware-based virtual servers.
"02 PHP Developers (MySQL,NoSQL)",FULL_TIME,Up to $1500,"PHP, MySQL, NoSQL","We Creat Market Leading Digital Products, Experiences & Platforms that Tranform Business","NitroTech Asia, Inc","We Creat Market Leading Digital Products, Experiences & Platforms that Tranform Business"
QC (Senior & Team Leader),FULL_TIME,You'll love it,"QA QC, Team Leader, Tester",Công ty Cổ phần Công nghệ Sen Đỏ - Đơn vị sở hữu sàn TMĐT hàng đầu Việt Nam,Sendo.vn,Công ty Cổ phần Công nghệ Sen Đỏ - Đơn vị sở hữu sàn TMĐT hàng đầu Việt Nam
10 Embedded Software Engineers (C++),FULL_TIME,You'll love it,"Embedded, C++, C language",One of the world‘s leading suppliers to the automotive sector,Hella Vietnam,One of the world‘s leading suppliers to the automotive sector
"Middle/Senior Android Dev (Java, Kotlin)",FULL_TIME,Up to $1800,"Android, Java, Kotlin",A fast growing software development company in Viet Nam,Saigon Technology Solutions,A fast growing software development company in Viet Nam
Frontend Dev (Wordpress/JavaScript/PHP),FULL_TIME,"Up to $1,600","Wordpress, JavaScript, PHP",Advesa Digital Solutions,Advesa Digital Solutions,Advesa Digital Solutions
"Backend Dev (Python/ Django, SQL)",FULL_TIME,"Up to $1,600","Python, SQL, Django",Advesa Digital Solutions,Advesa Digital Solutions,Advesa Digital Solutions
