title,job_type,salary,skills,address,company_name,company_description
Project Manager,FULL_TIME,"1,400 - 1,700 USD","Project Manager, Agile","MB Bank Building, 538 Cách Mạng Tháng Tám, Ward 11, District 3, Ho Chi Minh",Golden Owl Consulting Company,Golden Owl Consulting Company
Senior .NET Dev - Signing bonus upto 50M,FULL_TIME,Up to 50 millions,".NET, C#, ASP.NET","FPT Software Đường D1 Phường Tân Phú , District 9, Ho Chi Minh",FPT Software,The leading provider of software outsourcing services in Vietnam
02 Manual Tester (QA QC) - Up to 18M,FULL_TIME,You'll love it,"Tester, QA QC"," Duong Dinh Nghe, Cau Giay, Ha Noi",Newwave Solutions,A software solutions provider and software outsourcing company 
"PHP Developers (MySQL, Laravel)~$1500",FULL_TIME,"900 - 1,500 USD","PHP, MySQL, Laravel","1 Trung Hoa, Cau Giay, Ha Noi",PowerGate Software,PowerGate is one of the top companies specializing in software development in Vietnam.
Senior QA Automation Tester (SQL),FULL_TIME,You'll love it,"Tester, SQL, QA QC","FPT Software Đường D1 Phường Tân Phú , District 9, Ho Chi Minh",FPT Software,The leading provider of software outsourcing services in Vietnam
Senior NodeJS Developer,FULL_TIME,You'll love it,"NodeJS, English, Cloud","69 D2, Binh Thanh, Ho Chi Minh",Dirox,A high quality Software Products and Websites Outsourcing company
Fullstack Java Dev -Sign bonus up to 50M,FULL_TIME,Up to 50 millions,"Java, J2EE, Spring","FPT Software Đường D1 Phường Tân Phú , District 9, Ho Chi Minh",FPT Software,The leading provider of software outsourcing services in Vietnam
UX/UI Designer,FULL_TIME,You'll love it,"UI-UX, Designer","09 Song Nhue Street, Tan Binh, Ho Chi Minh",ASIM TELECOM,ASIM TELECOM
"Sr. Java Developer (Spring, JavaScript)",FULL_TIME,You'll love it,"Java, JavaScript, Spring","Sunrise Cityview, 33 Nguyễn Hữu Thọ, phường Tân Hưng, District 7, Ho Chi Minh",SEN Platform,Technology that helps every student learn effectively in their very own way.
Technical Product Owner/Product Manager,FULL_TIME,"1,500 - 2,500 USD","Product Manager, Project Manager, Business Analyst","2A/64A Bạch Đằng, Phường 2, Tân Bình, Hồ Chí Minh, Tan Binh, Ho Chi Minh",InnomizeTech,Our aim is to create awesome products that will make your everyday life easier
"Bridge System Engineer (BrSE, Japanese)",FULL_TIME,"1,000 - 2,000 USD","Bridge Engineer, Japanese, C#","364 Cộng Hòa, Tan Binh, Ho Chi Minh",Pasona Tech Việt Nam,"Pasona Tech Việt Nam chuyên cung cấp dịch vụ phần mềm, kỹ thuật ứng dụng, ..."
"02 Testers (QA QC, Japanese)",FULL_TIME,500 - 800 USD,"Tester, Japanese, QA QC","364 Cộng Hòa, Tan Binh, Ho Chi Minh",Pasona Tech Việt Nam,"Pasona Tech Việt Nam chuyên cung cấp dịch vụ phần mềm, kỹ thuật ứng dụng, ..."
"6 .NET/C# developers ($1,000-$1,500 net)",FULL_TIME,"1,000 - 1,500 USD",".NET, C#, MVC","5 Flr., The HM Town Building, 412 Nguyen Thi Minh Khai Str., Ward 5, District 3, Ho Chi Minh",Fitech,Providing a qualified service for your ICT resources requirement
"02 PHP Developers (MySQL,NoSQL)",FULL_TIME,Up to $1500,"PHP, MySQL, NoSQL","Tầng 9, Tòa Nhà ACB, 218 Bạch Đằng, P. Phước Ninh, Hai Chau, Da Nang","NitroTech Asia, Inc","We Creat Market Leading Digital Products, Experiences & Platforms that Tranform Business"
Sr. Java Developer (JavaScript/SQL/CSS),FULL_TIME,"1,500 - 1,900 USD","Java, CSS, SQL","16 Le Quy Don, Phu Nhuan, Ho Chi Minh",Nakivo,Providing continuous data protection software for VMware-based virtual servers.
QC (Senior & Team Leader),FULL_TIME,You'll love it,"QA QC, Team Leader, Tester","29 Đường Tân Thuận (Tòa nhà FPT Tân Thuận), District 7, Ho Chi Minh",Sendo.vn,Công ty Cổ phần Công nghệ Sen Đỏ - Đơn vị sở hữu sàn TMĐT hàng đầu Việt Nam
10 Embedded Software Engineers (C++),FULL_TIME,You'll love it,"Embedded, C++, C language","06 Nguyen Thi Minh Khai, District 1, Ho Chi Minh",Hella Vietnam,One of the world‘s leading suppliers to the automotive sector
"Middle/Senior Android Dev (Java, Kotlin)",FULL_TIME,Up to $1800,"Android, Java, Kotlin","2 Nguyen The Loc, Ward 12, Tan Binh, Ho Chi Minh",Saigon Technology Solutions,A fast growing software development company in Viet Nam
Frontend Dev (Wordpress/JavaScript/PHP),FULL_TIME,"Up to $1,600","Wordpress, JavaScript, PHP","152 Phó Đức Chính Trúc Bạch Ba Đình Hà Nội Vietnam, Ba Dinh, Ha Noi",Advesa Digital Solutions,Advesa Digital Solutions
"Backend Dev (Python/ Django, SQL)",FULL_TIME,"Up to $1,600","Python, SQL, Django","152 Phó Đức Chính Trúc Bạch Ba Đình Hà Nội Vietnam, Ba Dinh, Ha Noi",Advesa Digital Solutions,Advesa Digital Solutions
Kỹ sư RPA (Robotic Process Automation),FULL_TIME,"500 - 1,500 USD","Java, Python, C++","1 Tran Huu Duc, Hanoi, Nam Tu Liem, Ha Noi",Viettel Group,SHOW US YOUR WAY
Solution Architect (.NET),FULL_TIME,You'll love it,"Software Architect, English, .NET","165 Thái Hà, Dong Da, Ha Noi",Episerver,Episerver 
Backend Developer (Golang),FULL_TIME,You'll love it,"Golang, MySQL","Park 7 Vinhomes Central Park, 208 Nguyễn Hữu Cảnh, phường 22, Binh Thanh, Ho Chi Minh",Techub,We are a team of passionate technology and business developers
Mid/Senior .Net Developer – Microsoft C#,FULL_TIME,You'll love it,".NET, C#, SQL","182 Lê Đại Hành, District 11, Ho Chi Minh",Titan DMS ,Titan DMS is a leading developer and supplier of cloud based software solutions
Mobile Dev (Android/ iOS/ React Native),FULL_TIME,You'll love it,"React Native, Android, iOS","Toà nhà M.G Building, 345 Phạm Văn Bạch, Phường 15, Tan Binh, Ho Chi Minh",User Experience Researchers,"Our team consists of outstanding user researchers, creative designers, and IT developers"
【1500$】 Mobile Games Unity (C#) Urgent,FULL_TIME,"800 - 1,500 USD","Games, C#, Unity","1 Dao Duy Anh, Dong Da, Ha Noi",Neos Việt Nam,Neos VN là công ty IT 100% vốn Nhật Bản chuyên thiết kế phát triển ứng dụng chạy trên nền smartphone
Java Software Engineer,FULL_TIME,You'll love it,"Java, English","Pham Hung, Nam Tu Liem, Ha Noi",Fortna Vietnam,Fortna - The Distributions Experts
"05 Data Engineers (Database, AWS)",FULL_TIME,You'll love it,"Database, Python, AWS","Waseco Building - 10 Pho Quang Street, Ward 02, Tan Binh District, Ho Chi Minh, Tan Binh, Ho Chi Minh",Pizza Hut Digital Ventures,Pizza Hut Digital Ventures
"Project Manager(Autocad,System Engineer)",FULL_TIME,Attractive,"Manager, System Engineer, Project Manager","160/47 Bùi Đình Túy, P.12,Q. Bình Thạnh, Binh Thanh, Ho Chi Minh","Tin Bao Lan Co.,Ltd",.CÔNG TY TNHH TÍN BẢO LAN
"Node.JS Developer ( JavaScript, AWS )",FULL_TIME,"900 - 1,100 USD","NodeJS, JavaScript, AWS","6 Nguyen Cong Hoan, Ngoc Khanh, Ba Dinh, Ha Noi","Br24 Vietnam Co., Ltd","BR24 VIETNAM CO., LTD"
"Senior Dev/Team Leader (PHP, JavaScipt)",FULL_TIME,Từ 15 - 25m,"PHP, Team Leader, JavaScript","Nguyễn Thị Thập, Cau Giay, Ha Noi",Hệ thống Giáo dục HOCMAI ,"Công ty hàng đầu về cung cấp các dịch vụ giáo dục, đặc biệt là dịch vụ học tập trực tuyến"
Remote UX/Product Designer - Up to $1500,FULL_TIME,"1,000 - 1,500 USD","UI-UX, English, Designer","Ho Chi Minh, Not Available, Ho Chi Minh",Vsee Lab,"A telemedicine software company based in Silicon Valley, California"
"02 QA/QC Engineer (Automation, Manual)",FULL_TIME,Competitive,"Database, Tester, QA QC","Saigon Centre 2, 67 Le Loi, District 1, Ho Chi Minh",Shopee,Shopee is the leading e-commerce platform in Southeast Asia and Taiwan.
Junior DevOps Engineer (PHP/Python),FULL_TIME,You'll love it,"DevOps, Python, PHP","Lầu 11, Sonatus Tower, 15 Le Thanh Ton, Ben Nghe Ward, District 1, Ho Chi Minh",Vietlink,We are a Communication Design company
"Java Engineer (Spring, PostgresSQL)",FULL_TIME,Up to 35 mil vnd,"Java, Database, Spring","147 Ton Dat Tien Street, Tan Phong Ward, District 7, Ho Chi Minh",Seven System Vietnam,Hire great people and give them freedom to be awesome.
Tester Manager (QA/ AC),FULL_TIME,You'll love it,"Manager, Tester, QA QC","Trang An Complex bldg, CT1, 1 Phùng Chí Kiên (TS & SQA office), Cau Giay, Ha Noi",Koh Young Technology Inc,Delivery authentic values with true dedication and Professionalism
"DevOps Engineer (Docker, Kubernetes)",FULL_TIME,Up to 35 mil vnd,"DevOps, Linux","147 Ton Dat Tien Street, Tan Phong Ward, District 7, Ho Chi Minh",Seven System Vietnam,Hire great people and give them freedom to be awesome.
Experienced Embedded Engineer,FULL_TIME,500-1500 usd,"Embedded, System Engineer, C++","25-27, B4 Street, Sala Urban Area, District 2, Ho Chi Minh",The Rep. Office of STYL Solutions Pte. Ltd. In HCMC,The Ref. Office of STYL Solutions Pte. Ltd. In HCMC
"Solution Architect (Cloud, AWS, DevOps)",FULL_TIME,You'll love it,"DevOps, AWS, Cloud","HIU Tower, 215 Điện Biên Phủ, Phường 15, Binh Thanh, Ho Chi Minh",TymeGlobal,TymeGlobal is building multi-country digital banks with high-tech and high-touch solutions.
"05 Java Developers (Spring, J2EE)",FULL_TIME,You'll love it,"Java, J2EE, Spring","98 Nguy Nhu Kon Tum, Thanh Xuan, Ha Noi",IFI Solution - An NTT Data Company,Công ty hàng đầu về gia công phần mềm cho khách hàng Châu Âu
Java Developer ( Up to 2000$ ),FULL_TIME,Up to 2000$,"Java, C#, C++","15  Duy Tân, Cau Giay, Ha Noi",Elcom,Tập đoàn công nghệ hàng đầu Việt Nam trong lĩnh vực Điện tử-Viễn thông-Tin học
Technical Team Lead (PHP/Java/Golang),FULL_TIME,"1,200 - 2,000 USD","Golang, NodeJS, PHP","360 Xa Dan, Dong Da, Ha Noi",OpenCommerce Group,Open Commerce Group
Senior Front-End Developer,FULL_TIME,You'll love it,"ReactJS, English, Angular","364 Cong Hoa, Tan Binh, Ho Chi Minh",NashTech,"Global software, offshore development and IT company."
Senior/Leader Business Analyst ~ $2000,FULL_TIME,"1,000 - 2,200 USD","Business Analyst, English","33 Ba Vi Street, Ward 04, Tan Binh District, Ho Chi Minh, Tan Binh, Ho Chi Minh",Innotech Vietnam Corporation,A high quality software outsourcing services and business solutions provider for Banking and Airline
Senior / Lead VueJS Frontend Engineer,FULL_TIME,"2,000 - 4,000 USD","VueJS, ReactJS, Angular","62 Tran Quang Khai, Tan Dinh Ward, District 1, Ho Chi Minh",Raksul Inc,"Better Systems, Better World."
"Fullstack Dev (ReactJs, Laravel, MySQL)",FULL_TIME,"900 - 1,400 USD","ReactJS, MySQL, Laravel","Thạnh Mỹ Lợi, District 2, Ho Chi Minh",Docosan,Docosan
DevOps Engineer,FULL_TIME,You'll love it,"DevOps, Linux","1 Ngô Quyền, Hoan Kiem, Ha Noi",SSI Securities Corporation,SSI – A leading Financial Corporation
Senior Frontend Software Engineer,FULL_TIME,You'll love it,"JavaScript, ReactJS, Scala","11 Doan Van Bo, District 4, Ho Chi Minh",AXON,AXON
Delivery Manager,FULL_TIME,You'll love it,"Project Manager, Team Leader, Manager","Waseco Building - 10 Pho Quang Street, Ward 02, Tan Binh District, Ho Chi Minh, Tan Binh, Ho Chi Minh",Pizza Hut Digital Ventures,Pizza Hut Digital Ventures
05 Backend Developers (Java/OOP/Oracle),FULL_TIME,"1,000 - 2,000 USD","Java, OOP, Oracle","79 P403, Tòa Rainbow, số 79 Đường 19/5 KĐT Văn Quán, Ha Dong, Ha Noi",LeadsGen,"LEADSGEN CO.,LTD"
"Fullstack Developer (NodeJS, PHP, HTML5)",FULL_TIME,"1,000 - 1,700 USD","NodeJS, HTML5, PHP","Toong Coworking Space, 25T2 Hoang Dao Thuy, Cau Giay, Ha Noi",Holoscribe Limited,Do the best
Technical Product Manager - TPM,FULL_TIME,You'll love it,"Product Manager, Project Manager, Manager","Tầng 9, HCMCC Building, 249A Thụy Khuê, Tay Ho, Ha Noi","Got It, Inc.",10X the productivity by adding natural language understanding to tools and data
Senior IT Project Manager (English),FULL_TIME,You'll love it,"Project Manager, Agile, English","222 Pasteur, District 3, Ho Chi Minh",DatVietVAC,The largest and vertically integrated media & entertainment group that provides end-to-end solutions
"DBA Expert (Database, MySQL, Linux)",FULL_TIME,Upper salary range,"MySQL, Linux, Database","177 Hai Ba Trung - VRG Building, District 3, Ho Chi Minh",CIMB Bank Vietnam,CIMB Bank Vietnam
"Backend Game Dev (MySQL, Java) ~$1500",FULL_TIME,Up to $1500,"Games, MySQL, Java","Tầng 14, Toà nhà Detech Tower II, số 107 Nguyễn Phong Sắc, Dịch Vọng Hậu, Cầu Giấy, Hà Nội, Cau Giay, Ha Noi",ONESOFT - ABI TEAM,OneSoft tự hào là công ty phát triển game di động hàng đầu Việt Nam.
"Unity 2D/3D Dev (UI-UX,C#/ Java) ~$1500",FULL_TIME,Up to $1500,"Unity, UI-UX, Java","Tầng 14, Toà nhà Detech Tower II, số 107 Nguyễn Phong Sắc, Dịch Vọng Hậu, Cầu Giấy, Hà Nội, Cau Giay, Ha Noi",ONESOFT - ABI TEAM,OneSoft tự hào là công ty phát triển game di động hàng đầu Việt Nam.
".NET Developer (C#, ASP .NET), 2-4 yrs",FULL_TIME,High salary,".NET, C#, ASP.NET","6 Thăng Long, Tan Binh, Ho Chi Minh",Pacific Technology,Công Ty TNHH Thương Mại Công Nghệ Thái Bình
Solution Development Engineer (Python),FULL_TIME,You'll love it,"Python, Database, JSON","Anna Building, Quang Trung Software City, District 12, Ho Chi Minh",DIGI-TEXX VIETNAM,A Leading BPO Company in Vietnam | Transformation Happens Here | Digital Solutions
"Fullstack Dev (Java, JavaScript)",FULL_TIME,You will love it,"Java, JavaScript, ReactJS","7 Phan Chau Trinh, Hải Châu 1, Hai Chau, Da Nang",mgm technology partners Vietnam,mgm - Software Engineers to the bones. We code for Fortune 100 customers and have fun while doing so
Senior Business Analyst (Mobile App),FULL_TIME,You'll love it,"Business Analyst, English","Tang 9, So 80 Tran Thai Tong, Dich Vong Hau, Cau Giay, Ha Noi",BDA.SC,BDA.SC
"5 Developer Python/C# Upto $1,600",FULL_TIME,"800 - 1,600 USD","Python, C#","No.17, X5 area, Alley 60, Duong Khue Str., My Dinh 2 Ward, Nam Tu Liem, Ha Noi",META Vision ,A new startup for brilliant solutions for industrial market
"Data Engineer (Java,Python) ~Up to $3000",FULL_TIME,Up to $2500,"Database, Python, Java","FPT Cau Giay Building, Cau Giay, Ha Noi",FPT Software,The leading provider of software outsourcing services in Vietnam
IT Comtor (Japanese N2),FULL_TIME,700 - 900 USD,"Japanese, PHP","6 Lê Thánh Tôn, District 1, Ho Chi Minh",Propolife Việt Nam,"Hoạt động trong lĩnh vực BĐS, thiết kế web, và  lĩnh vực công nghệ thông tin"
Test Lead – Signing bonus up to 20M,FULL_TIME,Up to 20m,"Tester, Team Leader, QA QC","Nam Ky Khoi Nghia, Ngu Hanh Son, Da Nang",FPT Software,The leading provider of software outsourcing services in Vietnam
Sr Android Developer (Java/ Kotlin),FULL_TIME,"1,000 - 1,500 USD","Android, Java, Kotlin","98 Hoang Quoc Viet, Cau Giay, Ha Noi",Vega Corporation,Công ty dịch vụ trực tuyến và dịch vụ trên di động hàng đầu Việt Nam
Android Software Engineer - Up to $2000,FULL_TIME,You'll love it,"Android, Java","Tầng 34, tòa nhà Keangnam Landmark 72, đường Phạm Hùng, Nam Tu Liem, Ha Noi",LG Development Center Vietnam,LG Vehicle Component Solutions Development Center Vietnam
React Native Mobile Dev (Android/iOS),FULL_TIME,"1,500 - 3,000 USD","React Native, Android, iOS","93 Nguyen Du - President Place, District 1, Ho Chi Minh",Silentium Vietnam,Empower health-care value chain
C/C++ Software Engineer,FULL_TIME,"700 - 2,000 USD","C++, OOP, C language","Tầng 34, tòa nhà Keangnam Landmark 72, đường Phạm Hùng, Nam Tu Liem, Ha Noi",LG Development Center Vietnam,LG Vehicle Component Solutions Development Center Vietnam
Backend Engineering (Golang/Java/NodeJS),FULL_TIME,"1,500 - 3,000 USD","Golang, NodeJS, Java","93 Nguyen Du - President Place, District 1, Ho Chi Minh",Silentium Vietnam,Empower health-care value chain
Tester (QA/QC),FULL_TIME,You'll love it,"Tester, QA QC","82 Tran Huy Lieu, Phu Nhuan, Ho Chi Minh",Forix,Fastest Growing E-commerce Agency in Vietnam
Junior Backend Developer (NodeJS),FULL_TIME,Competitive salary,"JavaScript, Python, NodeJS","Phòng 904, Tầng 9, Tòa nhà Saigon Paragon, Số 3 Nguyễn Lương Bằng, Phường Tân Phú, District 7, Ho Chi Minh",ITR VN,"At ITR we build IoT systems, leverage Big Data and AI technologies to bring data insights to Life"
05 Backend Engineer (Python/GoLang),FULL_TIME,From 2000 usd,"Python, NodeJS, Golang","Sonatus Building, 15 Le Thanh Ton, Ben Nghe Ward, District 1, Ho Chi Minh",Shopee,Shopee is the leading e-commerce platform in Southeast Asia and Taiwan.
Middle QA QC (Tester),FULL_TIME,You'll love it,"QA QC, English, Tester","37 Ký Con, Phường Nguyễn Thái Bình, District 1, Ho Chi Minh",HOOZING,Organizing real estate market by bringing transparency and accessibility
"Software Dev. Manager (C#, ASP.NET)",FULL_TIME,You'll love it,"Manager, C#, ASP.NET","1 Ngô Quyền, Hoan Kiem, Ha Noi",SSI Securities Corporation,SSI – A leading Financial Corporation
[RPA Project] Junior Devs (Python/C#),FULL_TIME,You'll love it,"C#, Python","Toong IPH, Tầng 2, Indochina Plaza, Số 241 Xuân Thủy, Phường Dịch Vọng Hậu, Cau Giay, Ha Noi",Sisua Digital Vietnam,CÔNG TY CỔ PHẦN SISUA DIGITAL VIỆT NAM
"Backend Engineer (NodeJS, DevOps, Ruby)",FULL_TIME,"1,500 - 1,700 USD","Ruby, NodeJS, DevOps","D2 Giảng Võ, Ba Dinh, Ha Noi",LOGIVAN,LOGIVAN is a pioneering technology start-up that is transforming the fragmented trucking industry
Urgent:03 Magento Developers ( PHP/JS),FULL_TIME,"600 - 1,800 USD","PHP, JavaScript, Magento","116 Vu Trong Phung, Thanh Xuan, Ha Noi",SHOPSTACK VIETNAM ,We assist companies across Southeast Asia with achieving their technology goals
Senior Software Engineer Embedded -JD114,FULL_TIME,"1,000 - 2,500 USD","Embedded, Japanese, C language","519 Kim Ma, Ba Dinh, Ha Noi","Toshiba Software Development (Viet Nam) Co, Ltd",A social infrastructure and digital products software company
Team Leader (Japanese N3) JD113,FULL_TIME,"1,000 - 2,500 USD","Team Leader, C++, Java","519 Kim Ma, Ba Dinh, Ha Noi","Toshiba Software Development (Viet Nam) Co, Ltd",A social infrastructure and digital products software company
Software Engineer for Java - JD112,FULL_TIME,"600 - 1,500 USD","Java, JavaScript","519 Kim Ma, Ba Dinh, Ha Noi","Toshiba Software Development (Viet Nam) Co, Ltd",A social infrastructure and digital products software company
Senior Winform/WPF .NET Developer,FULL_TIME,You'll love it,".NET, C#, SQL","384 Hoang Dieu, District 4, Ho Chi Minh",Retail Management Hero,RMH is built to allow for a multitude of third-party add on integrations and application services.
