title,job_type,skills,company_name,company_description,address
"Senior Android Developer Kotlin, MVC",FULL_TIME,"Android, MVC, Kotlin",Dirox,A high quality Software Products and Websites Outsourcing company,"69 D2, Binh Thanh, Ho Chi Minh"
BackEnd Senior Developer/Tech Lead,FULL_TIME,"NodeJS, AWS, Spring",PRINCETON ACADEMY,Fast growing edtech startup that helps Vietnamese kids to talk native English and think critically.,"458 Phố Minh Khai, Vinhomes Times City, Vinh Tuy, Hai Ba Trung, Ha Noi"
Front-End Leader ReactJS/JavaScript,FULL_TIME,"JavaScript, Team Leader, ReactJS",POPS Worldwide,POPS Worldwide is a leading digital entertainment company & based in VN,"285 Cách Mạng Tháng 8, District 10, Ho Chi Minh"
"Fullstack Ruby Developer Ruby,ReactJS",FULL_TIME,"Ruby, Ruby on Rails, ReactJS",SkyLab, SkyLab believes in the connectivity and network of things,"208 Nguyen Trai, District 1, Ho Chi Minh"
Manual Tester QA QC,FULL_TIME,"QA QC, Tester",LOGIVAN,LOGIVAN is a pioneering technology start-up that is transforming the fragmented trucking industry,"D2 Giảng Võ, Ba Dinh, Ha Noi"
Mobile Developer React Native,FULL_TIME,"React Native, Android, ReactJS",LOGIVAN,LOGIVAN is a pioneering technology start-up that is transforming the fragmented trucking industry,"D2 Giảng Võ, Ba Dinh, Ha Noi"
Senior Python Developer,FULL_TIME,"Python, Database, PostgreSql",Dirox,A high quality Software Products and Websites Outsourcing company,"69 D2, Binh Thanh, Ho Chi Minh"
Senior Front-End Developer,FULL_TIME,"Java, CSS, JavaScript",Karros Technologies,Innovative Transportation Solutions,"02 Hồng Hà, Tan Binh, Ho Chi Minh"
Experienced C++ Developer Linux,FULL_TIME,"C++, Linux, Embedded",DEK Technologies,An Australian outsourcing design company with experience in all aspects of project life cycle,"121 Le Loi, District 1, Ho Chi Minh"
"Junior .NET Developers C#, ASP.NET ",FULL_TIME,".NET, C#, ASP.NET",JUST-IN-TIME SOLUTIONS (JITS),JITS - Cung cấp giải pháp phần mềm cho các ngân hàng và công ty tài chính hàng đầu ở Đông Nam Á,"Số 3A ngõ 495 Nguyễn Trãi, Thanh Xuan, Ha Noi"
